source_text;ethno
[[id174199907|Мустафа], мы, украинцы и белорусы вышли из Киевской Руси, там сформировались наши этносы) А я очень рад, что вы хоть чуть-чуть прозрели от своих псевдо-научных убеждений! Кстати, в свое время единым этносом кипчаков были крымцы, ногайцы, <b>казахи</b>! Значит по твоему Кадыров и чечены не мусульмане ((Но этот волос считается мусульманской святыней, которые признают сунитские имамы, или они тоже не мусульмане;казах
Короче, я сейчас не оправдываюсь, просто хочу разъяснить суть моего посыла. Есть у меня много знакомых армяней, грузинов, дагестанцев, чеченцев и много кого ещё. За то, что я общаюсь со всеми, меня нельзя назвать русофобом.Многие считают себя русскими, даже не зная своих предков. Хотя если разобраться, то почти у каждого человека в роду были родственники из других наций. На европейской территории до Урала это чаще всего немцы, поляки, прибалты и даже французы. От Урала и дальше <b>азиаты</b> и северяне(поморы, якуты...), у нас на юге - кавказцы. Моя прабабушка была полькой, жившей в Белоруссии. Я родился в России, а родину, как говорится, не выбирают. У меня паспорт гражданина России. И в армии я служил в России.;казах
[[id211685480|Заур], это связано с твоими словами о некой исконности на Кавказе ). Вайнахи на равнине СК появились как выселки на землях кумыков и <b>кабардинцев</b>. Массовое переселение пошло во время освоения Кавказа Россией.  <br/> В частности равнинные земли для ингушей русские выкупали у кабардинских князей Бековичей Черкасских. И многие села Ингушетии носят их названия по сей день.  <br/>  <br/> До этого горцы на равнину даже нос показать боялись. Что видно кстати из преданий о враждебных нартах , угнетающих горцев.;казах
"RT @VRSoloviev: <a href=\http://youtube.com/watch?v=ebFjL0\"" target=\""_blank\""><u>http://youtube.com/watch?v=ebFjL0</u></a>… via @youtube настоящие <b>казаки</b> ничего не хотя сказать этим \""ряженым\""? Разве это не дискредитация каз…""";казах
"Большинство монголов по крови говорят на русском. 10-ти миллионный Казахстан, 7-ми Кыргызстан, с <b>калмыками</b> свободно общаемся на русском, туваками,якутами. Самое главное внутри бурят стали друг друга понимать. Всегда вспоминаю тетку сонголку мурочинскую в Осе \ Я этих бурят вообще не понимаю, ни одного слова. Что за язык у них такой\"". У этих халхасов тоже диалект паразитирован маньчжурами""";казах
"[[id211552326|Иван], ты прав: <br/> Хохол останется хохлом <br/> Хоть ты пусти ЕГО в Европу <br/> Где надо действовать умом, <br/> Он напрягает только жопу. <br/> И потому-то на Руси <br/> Завещано аж Мономахом: <br/> «Связаться Боже упаси! <br/> С тремя — <b><font color=\#E42217\"">жидом</font></b>, хохлом и <b>ляхом</b> «. <br/> Коварен <b><font color=\""#E42217\"">жид</font></b>, хотя и слеп   <br/> Кичливый <b>лях</b> — <b><font color=\""#E42217\"">похуже</font></b> <b><font color=\""#E42217\"">бляди</font></b>, <br/> Хохол же — съест с тобою хлеб, <br/> И тут же в суп тебе нагадит. <br/> «Хохлы» Т.Г.Шевченко 1851г""";азиат
"А вот фрагмент одного из 100500 диспутов возле конторы (компьютерный зал). Спор о том кто был лучшим оружейником, кто привнес в мир оружия больший вклад и все такое. Это международный спор в нем участвует Чародинец, гражданин США, Кумык <b><font color=\#41A317\"">шикарный</font></b> дизайнер-проектировщик, <b>Даргинец</b> владелец конторы, переводчик арабско-русского языка, житель КСА временно проживающий в Махачкале.  #махачкала""";кабардинец
Читаю о «рейдах», которые проводят питерские <b>казаки</b> в магазинах, разыскивая «санкционные» продукты. Для справки: никаких законных прав организовывать «рейды» и что-то «проверять», присваивая себе полномочия государственных органов, у этих «асфальтовых <b>казаков</b>» (ибо землю они не пашут и границу не охраняют, как было положено <b>казакам</b>) не имеется. О том, чтобы соответствующие полномочия были им даны, сведений у меня не имеется. А потому любой директор магазина, видя их, имеет полное право звать полицию и требовать гнать их взашей. И никаких документов он им предъявлять не обязан. Что-то им не нравится? Пусть жалуются в прокуратуру, Роспотребнадзор и другие госорганы.;кабардинец
Его надо чувствовать, ведь это внутренний стержень Русского народа. Русский - это не национальность, это МИРОВОЗЗРЕНИЕ. Могу привести пример: Как назовут якута, тувинца, осетина, белоруса, украинца, русского, <b>казаха</b>, татарина, хакаса, таджика, а также другие национальности, если они скажут что родились в СССР, на западе???;кабардинец
[[id104848877|Алексей], нужна другая визовая политика. Хватит всех пускать, всех жалеть. ТС это не так уж и много стран. <b>Казахи</b> работать не поедут, у них хорошие з/п и нормальные рабочие масла дома, белорусы аналогично. Армяне, все кто хотел уже тут и у всех паспорта РФ. Киргизы, но только и осталось, что киргизы. Остальным пока пока до потребности в персонале.;кабардинец
